Latitude,Longitude
-11.98206,-72.10661	
-12.05393,-72.03305	
-12.09907,-71.97262	
-22.49952,-135.88406	
-22.50668,-135.84984	
-15.80698,-49.29630	
3.74617,-71.28201	
3.83135,-71.29301	
-20.93396,-135.91840	
3.48988,-71.15500	
3.66630,-71.30485	
-19.16399,-50.85944	
-19.17974,-50.58747	
-19.20121,-50.53075	
-8.80294,-60.63568	
3.84184,-71.25595	
4.11340,-71.71114	
-25.11983,-45.68305	
-25.22182,-45.40726	
-4.32884,-74.25150	
-8.77622,-76.65092	
3.77740,-71.32323	
-23.72671,-47.81180	
-4.44609,-73.88409	
-4.47478,-73.86489	
2.28795,-71.09303	
2.32671,-71.13198	
2.51234,-71.40862	
3.75070,-71.33318	
-12.81219,-57.09988	
-14.74100,-57.68987	
-25.29340,-45.26819	
-25.43003,-45.20828	
-25.43411,-45.19711	
-0.47242,-71.63506	
4.74127,-74.65989	
-11.94117,-72.35333	
-11.94777,-72.40672	
-13.57976,-51.34138	
-17.95430,-67.53967	
-18.72792,66.01487	
-18.75672,65.98561	
-12.72645,-57.06409	
-12.75887,-57.02729	
-21.35395,-48.38816	
-25.52156,-45.10614	
-3.56822,-63.38594	
3.83426,-71.43414	
-17.29743,-138.05939	
-19.12078,-50.72858	
-25.62216,-44.93430	
-5.66365,-75.50063	
5.12907,171.83356	
-17.17952,-139.24818	
-17.23680,-140.05658	
-24.84381,-45.44773	
-5.56087,-75.03870	
3.63070,-70.99023	
3.74908,-71.28168	
3.88554,-71.36038	
-14.48749,-51.67517	
-23.28133,-51.10437	
-23.51729,-50.80772	
-4.68023,-73.86160	
-5.07081,-76.24985	
3.77074,-71.29220	
-10.30742,-75.49377	
-12.80308,-56.92768	
-12.77235,-57.11210	
-23.31172,-45.81275	
-3.69645,-63.25358	
-3.87343,-62.92775	
3.82092,-71.38501	
3.87106,-71.44380	
-1.27025,140.46053	
-19.51275,-137.31721	
-6.47679,-58.39821	
-13.31596,-71.05828	
-15.87841,-49.01226	
-15.87925,-49.02168	
-18.24916,-50.80106	
-23.47544,-48.21888	
-5.59584,-75.65239	
-8.95002,-60.34827	
-19.26877,-50.73124	
6.34358,-84.78188	
6.65208,-85.10463	
-4.20026,-75.31902	
-4.77521,-73.89980	
-12.12729,-74.54417	
-18.59943,-66.93237	
-25.13019,-45.48335	
-4.13702,-76.31226	
-5.66035,-74.92632	
-4.51882,-74.41913	
-5.36419,-75.27902	
-5.97129,-57.92093	
-5.99346,-58.59977	
-14.88203,-54.29235	
-4.45995,-74.79398	
-4.92829,-76.62794	
-5.03540,-76.06462	
-11.93201,15.99419	
-5.84938,-58.27158	
-8.86733,-60.21615	
-8.92252,-60.74686	
-9.60868,-45.93049	
-12.72500,-57.04811	
-13.23849,-52.39141	
-14.37752,-51.66647	
-25.36026,-44.96272	
-5.59839,-75.08759	
-13.59725,-52.37664	
-23.16387,-50.58540	
-23.18992,-50.49604	
-25.35610,-45.09191	
-15.88994,-48.93324	
-5.63655,-75.27917	
3.82241,-71.40111	
3.84044,-71.30283	
-25.43874,-45.18921	
-19.01295,-51.16512	
-19.18238,-50.84975	
-19.21460,-50.71271	
-21.38787,46.85465	
-23.15590,-45.72305	
-23.25521,-45.62922	
-23.25685,-45.61689	
-23.26159,-45.62235	
-27.91505,-127.46338	
42.34812,-168.59319	
-12.72573,-57.10582	
-5.49008,-75.09122	
1.15338,-95.61812	
7.79200,-73.68674	
-19.88284,-136.45717	
-19.94024,35.15406	
-5.37489,-41.93739	
-1.45265,-69.89989	
-21.43327,72.76653	
-25.37661,-45.24800	
1.00503,-71.45058	
1.04096,-71.73285	
1.04981,-71.43384	
3.01052,-41.12331	
5.52818,-76.59139	
-26.86120,-45.11949	
-27.02592,-45.09956	
-12.04070,170.10313	
-5.35966,-50.94748	
-12.86892,-57.10790	
-12.99719,-57.28514	
-13.12695,-57.82420	
-49.73558,27.03992	
-12.77894,-57.46324	
-2.71557,141.48856	
-5.55763,-75.53927	
-17.27981,-51.42282	
-2.74102,-48.59579	
-11.01004,-52.56583	
-12.87144,-57.01365	
-15.40333,-71.87083	
-28.17810,-4.83468	
-4.05424,-74.75464	
-4.11274,-74.44172	
-4.24252,-75.16798	
-12.38934,-74.45509	
-12.81466,-57.08269	
-14.42571,-51.96329	
-23.29245,-51.06236	
-3.50296,-63.45774	
-5.49131,-75.15073	
-12.84557,-57.01216	
-18.44090,-51.24962	
-6.08483,-54.03077	
3.99717,-71.51135	
-19.22845,-51.01887	
-25.19799,-45.01759	
-26.82309,-115.15001	
-26.84731,-114.37465	
-4.31613,-74.06812	
-5.46080,-47.10202	
-20.19470,22.12516	
-23.30642,-45.67715	
-23.33055,-50.90247	
-25.34443,-45.52507	
0.29700,-72.52703	
-4.31718,-74.33033	
-10.30934,-75.63547	
-10.31736,-75.61607	
-10.32104,-75.63559	
-25.36878,-45.17224	
3.71898,-71.24052	
4.18047,-9.14799	
-14.45172,-51.81434	
-14.46851,-51.91956	
-15.13327,-51.30051	
-15.87980,-49.45489	
-12.87593,-56.71753	
-9.97403,-75.47527	
-10.60020,-55.25057	
-4.76478,-75.28485	
-5.31327,-75.47928	
-8.80036,-56.05686	
-8.86069,-56.25829	
-8.99998,-56.69862	
-10.61203,-55.22264	
-8.64171,-56.41302	
3.89868,-71.75769	
-23.88135,-47.57354	
-4.29477,-74.09708	
-2.48621,-50.00877	
-12.71116,-57.05152	
-12.73906,-57.06392	
-17.94662,-67.53499	
-23.05359,-134.84570	
-8.94129,-60.25326	
-8.95542,-60.26628	
-9.01705,-60.22453	
-5.38466,-75.34824	
-5.39176,-75.35079	
3.85090,-71.28365	
-3.53925,-63.42007	
-5.04397,-76.28600	
3.70510,-71.28904	
6.00720,-8.45372	
-13.18398,-73.52456	
-27.36229,-135.83992	
-27.37866,-135.13583	
-27.40166,-135.71796	
0.16082,-63.66957	
3.88066,-71.34753	
-10.39446,-76.15167	
-19.15713,-50.90555	
-19.19289,-50.77575	
1.96518,-66.78133	
3.98339,-71.48039	
-19.48071,35.72200	
-3.45912,-63.32647	
-5.11857,-75.69114	
-3.81815,-38.12661	
3.08368,-71.54616	
3.09454,-71.52686	
3.78022,-71.45446	
-18.00149,-137.50574	
-25.41630,-45.36146	
-32.35289,-42.80290	
-25.37521,-45.37697	
-25.41229,-45.36628	
-25.43712,-45.30025	
-32.76190,-43.16009	
-23.16069,-49.38646	
-25.20724,-45.30124	
